run,model,step,reward,flag
1,1,1,276.0,False
1,1,2,459.0,False
1,1,3,275.0,False
1,1,4,275.0,False
1,1,5,434.0,False
1,1,6,275.0,False
1,1,7,812.0,False
1,1,8,257.0,False
1,1,9,272.0,False
1,1,10,275.0,False
1,1,11,442.0,False
1,1,12,450.0,False
1,1,13,387.0,False
1,1,14,544.0,False
1,1,15,275.0,False
1,1,16,271.0,False
1,1,17,271.0,False
1,1,18,391.0,False
1,1,19,275.0,False
1,1,20,389.0,False
1,1,21,414.0,False
1,1,22,275.0,False
1,1,23,450.0,False
1,1,24,450.0,False
1,1,25,444.0,False
1,1,26,276.0,False
1,1,27,257.0,False
1,1,28,275.0,False
1,1,29,263.0,False
1,1,30,441.0,False
1,1,31,440.0,False
1,1,32,443.0,False
1,1,33,258.0,False
1,1,34,257.0,False
1,1,35,386.0,False
1,1,36,450.0,False
1,1,37,444.0,False
1,1,38,257.0,False
1,1,39,264.0,False
1,1,40,458.0,False
1,1,41,274.0,False
1,1,42,433.0,False
1,1,43,812.0,False
1,1,44,435.0,False
1,1,45,263.0,False
1,1,46,275.0,False
1,1,47,818.0,False
1,1,48,275.0,False
1,1,49,445.0,False
1,1,50,443.0,False
1,1,51,259.0,False
1,1,52,275.0,False
1,1,53,258.0,False
1,1,54,437.0,False
1,1,55,258.0,False
1,1,56,442.0,False
1,1,57,276.0,False
1,1,58,450.0,False
1,1,59,442.0,False
1,1,60,414.0,False
1,1,61,823.0,False
1,1,62,275.0,False
1,1,63,275.0,False
1,1,64,275.0,False
1,1,65,439.0,False
1,1,66,440.0,False
1,1,67,257.0,False
1,1,68,820.0,False
1,1,69,437.0,False
1,1,70,258.0,False
1,1,71,448.0,False
1,1,72,441.0,False
1,1,73,458.0,False
1,1,74,436.0,False
1,1,75,275.0,False
1,1,76,385.0,False
1,1,77,258.0,False
1,1,78,429.0,False
1,1,79,275.0,False
1,1,80,261.0,False
1,1,81,442.0,False
1,1,82,427.0,False
1,1,83,389.0,False
1,1,84,257.0,False
1,1,85,258.0,False
1,1,86,259.0,False
1,1,87,275.0,False
1,1,88,261.0,False
1,1,89,447.0,False
1,1,90,276.0,False
1,1,91,939.0,False
1,1,92,435.0,False
1,1,93,419.0,False
1,1,94,446.0,False
1,1,95,380.0,False
1,1,96,719.0,False
1,1,97,451.0,False
1,1,98,374.0,False
1,1,99,436.0,False
1,1,100,357.0,False
1,2,1,439.0,False
1,2,2,272.0,False
1,2,3,257.0,False
1,2,4,252.0,False
1,2,5,449.0,False
1,2,6,258.0,False
1,2,7,75.0,False
1,2,8,439.0,False
1,2,9,254.0,False
1,2,10,261.0,False
1,2,11,260.0,False
1,2,12,257.0,False
1,2,13,714.0,False
1,2,14,263.0,False
1,2,15,75.0,False
1,2,16,257.0,False
1,2,17,257.0,False
1,2,18,263.0,False
1,2,19,437.0,False
1,2,20,434.0,False
1,2,21,520.0,False
1,2,22,75.0,False
1,2,23,264.0,False
1,2,24,262.0,False
1,2,25,258.0,False
1,2,26,257.0,False
1,2,27,444.0,False
1,2,28,375.0,False
1,2,29,267.0,False
1,2,30,257.0,False
1,2,31,440.0,False
1,2,32,259.0,False
1,2,33,266.0,False
1,2,34,367.0,False
1,2,35,275.0,False
1,2,36,262.0,False
1,2,37,447.0,False
1,2,38,383.0,False
1,2,39,809.0,False
1,2,40,275.0,False
1,2,41,257.0,False
1,2,42,394.0,False
1,2,43,263.0,False
1,2,44,454.0,False
1,2,45,257.0,False
1,2,46,258.0,False
1,2,47,262.0,False
1,2,48,275.0,False
1,2,49,258.0,False
1,2,50,363.0,False
1,2,51,457.0,False
1,2,52,264.0,False
1,2,53,275.0,False
1,2,54,255.0,False
1,2,55,258.0,False
1,2,56,619.0,False
1,2,57,258.0,False
1,2,58,449.0,False
1,2,59,281.0,False
1,2,60,390.0,False
1,2,61,714.0,False
1,2,62,369.0,False
1,2,63,444.0,False
1,2,64,267.0,False
1,2,65,258.0,False
1,2,66,817.0,False
1,2,67,393.0,False
1,2,68,258.0,False
1,2,69,259.0,False
1,2,70,448.0,False
1,2,71,422.0,False
1,2,72,443.0,False
1,2,73,401.0,False
1,2,74,254.0,False
1,2,75,258.0,False
1,2,76,435.0,False
1,2,77,264.0,False
1,2,78,448.0,False
1,2,79,439.0,False
1,2,80,267.0,False
1,2,81,256.0,False
1,2,82,430.0,False
1,2,83,413.0,False
1,2,84,458.0,False
1,2,85,257.0,False
1,2,86,263.0,False
1,2,87,435.0,False
1,2,88,436.0,False
1,2,89,431.0,False
1,2,90,439.0,False
1,2,91,275.0,False
1,2,92,251.0,False
1,2,93,380.0,False
1,2,94,257.0,False
1,2,95,258.0,False
1,2,96,264.0,False
1,2,97,449.0,False
1,2,98,257.0,False
1,2,99,438.0,False
1,2,100,643.0,False
1,3,1,258.0,False
1,3,2,258.0,False
1,3,3,383.0,False
1,3,4,364.0,False
1,3,5,259.0,False
1,3,6,276.0,False
1,3,7,815.0,False
1,3,8,255.0,False
1,3,9,409.0,False
1,3,10,275.0,False
1,3,11,625.0,False
1,3,12,251.0,False
1,3,13,437.0,False
1,3,14,439.0,False
1,3,15,439.0,False
1,3,16,262.0,False
1,3,17,275.0,False
1,3,18,435.0,False
1,3,19,257.0,False
1,3,20,264.0,False
1,3,21,686.0,False
1,3,22,255.0,False
1,3,23,449.0,False
1,3,24,263.0,False
1,3,25,421.0,False
1,3,26,257.0,False
1,3,27,448.0,False
1,3,28,257.0,False
1,3,29,257.0,False
1,3,30,258.0,False
1,3,31,257.0,False
1,3,32,442.0,False
1,3,33,75.0,False
1,3,34,447.0,False
1,3,35,444.0,False
1,3,36,75.0,False
1,3,37,434.0,False
1,3,38,264.0,False
1,3,39,258.0,False
1,3,40,385.0,False
1,3,41,457.0,False
1,3,42,264.0,False
1,3,43,265.0,False
1,3,44,264.0,False
1,3,45,257.0,False
1,3,46,795.0,False
1,3,47,258.0,False
1,3,48,444.0,False
1,3,49,438.0,False
1,3,50,263.0,False
1,3,51,275.0,False
1,3,52,364.0,False
1,3,53,264.0,False
1,3,54,264.0,False
1,3,55,435.0,False
1,3,56,75.0,False
1,3,57,240.0,False
1,3,58,257.0,False
1,3,59,444.0,False
1,3,60,444.0,False
1,3,61,432.0,False
1,3,62,263.0,False
1,3,63,451.0,False
1,3,64,259.0,False
1,3,65,725.0,False
1,3,66,449.0,False
1,3,67,257.0,False
1,3,68,431.0,False
1,3,69,445.0,False
1,3,70,258.0,False
1,3,71,264.0,False
1,3,72,275.0,False
1,3,73,258.0,False
1,3,74,258.0,False
1,3,75,258.0,False
1,3,76,258.0,False
1,3,77,437.0,False
1,3,78,263.0,False
1,3,79,267.0,False
1,3,80,268.0,False
1,3,81,375.0,False
1,3,82,258.0,False
1,3,83,255.0,False
1,3,84,569.0,False
1,3,85,257.0,False
1,3,86,385.0,False
1,3,87,260.0,False
1,3,88,257.0,False
1,3,89,75.0,False
1,3,90,261.0,False
1,3,91,258.0,False
1,3,92,443.0,False
1,3,93,257.0,False
1,3,94,257.0,False
1,3,95,258.0,False
1,3,96,257.0,False
1,3,97,443.0,False
1,3,98,266.0,False
1,3,99,249.0,False
1,3,100,449.0,False
1,4,1,257.0,False
1,4,2,258.0,False
1,4,3,275.0,False
1,4,4,257.0,False
1,4,5,257.0,False
1,4,6,264.0,False
1,4,7,257.0,False
1,4,8,75.0,False
1,4,9,443.0,False
1,4,10,257.0,False
1,4,11,257.0,False
1,4,12,240.0,False
1,4,13,258.0,False
1,4,14,449.0,False
1,4,15,258.0,False
1,4,16,889.0,False
1,4,17,242.0,False
1,4,18,266.0,False
1,4,19,257.0,False
1,4,20,257.0,False
1,4,21,275.0,False
1,4,22,267.0,False
1,4,23,440.0,False
1,4,24,450.0,False
1,4,25,257.0,False
1,4,26,249.0,False
1,4,27,241.0,False
1,4,28,687.0,False
1,4,29,258.0,False
1,4,30,436.0,False
1,4,31,426.0,False
1,4,32,444.0,False
1,4,33,712.0,False
1,4,34,257.0,False
1,4,35,275.0,False
1,4,36,257.0,False
1,4,37,241.0,False
1,4,38,257.0,False
1,4,39,275.0,False
1,4,40,75.0,False
1,4,41,257.0,False
1,4,42,241.0,False
1,4,43,455.0,False
1,4,44,263.0,False
1,4,45,257.0,False
1,4,46,426.0,False
1,4,47,257.0,False
1,4,48,262.0,False
1,4,49,722.0,False
1,4,50,256.0,False
1,4,51,570.0,False
1,4,52,263.0,False
1,4,53,262.0,False
1,4,54,434.0,False
1,4,55,438.0,False
1,4,56,395.0,False
1,4,57,240.0,False
1,4,58,258.0,False
1,4,59,432.0,False
1,4,60,263.0,False
1,4,61,240.0,False
1,4,62,263.0,False
1,4,63,255.0,False
1,4,64,275.0,False
1,4,65,720.0,False
1,4,66,275.0,False
1,4,67,258.0,False
1,4,68,892.0,False
1,4,69,362.0,False
1,4,70,410.0,False
1,4,71,760.0,False
1,4,72,258.0,False
1,4,73,251.0,False
1,4,74,436.0,False
1,4,75,257.0,False
1,4,76,258.0,False
1,4,77,446.0,False
1,4,78,372.0,False
1,4,79,275.0,False
1,4,80,263.0,False
1,4,81,445.0,False
1,4,82,275.0,False
1,4,83,240.0,False
1,4,84,275.0,False
1,4,85,443.0,False
1,4,86,378.0,False
1,4,87,264.0,False
1,4,88,435.0,False
1,4,89,257.0,False
1,4,90,240.0,False
1,4,91,1306.0,False
1,4,92,381.0,False
1,4,93,257.0,False
1,4,94,439.0,False
1,4,95,393.0,False
1,4,96,447.0,False
1,4,97,406.0,False
1,4,98,263.0,False
1,4,99,262.0,False
1,4,100,378.0,False
1,5,1,395.0,False
1,5,2,258.0,False
1,5,3,258.0,False
1,5,4,357.0,False
1,5,5,953.0,False
1,5,6,441.0,False
1,5,7,263.0,False
1,5,8,447.0,False
1,5,9,75.0,False
1,5,10,258.0,False
1,5,11,451.0,False
1,5,12,264.0,False
1,5,13,263.0,False
1,5,14,257.0,False
1,5,15,257.0,False
1,5,16,257.0,False
1,5,17,255.0,False
1,5,18,258.0,False
1,5,19,257.0,False
1,5,20,257.0,False
1,5,21,263.0,False
1,5,22,439.0,False
1,5,23,257.0,False
1,5,24,271.0,False
1,5,25,257.0,False
1,5,26,258.0,False
1,5,27,75.0,False
1,5,28,257.0,False
1,5,29,263.0,False
1,5,30,454.0,False
1,5,31,75.0,False
1,5,32,430.0,False
1,5,33,382.0,False
1,5,34,437.0,False
1,5,35,435.0,False
1,5,36,450.0,False
1,5,37,258.0,False
1,5,38,257.0,False
1,5,39,437.0,False
1,5,40,258.0,False
1,5,41,803.0,False
1,5,42,263.0,False
1,5,43,454.0,False
1,5,44,699.0,False
1,5,45,430.0,False
1,5,46,381.0,False
1,5,47,445.0,False
1,5,48,258.0,False
1,5,49,257.0,False
1,5,50,257.0,False
1,5,51,263.0,False
1,5,52,691.0,False
1,5,53,441.0,False
1,5,54,815.0,False
1,5,55,263.0,False
1,5,56,439.0,False
1,5,57,257.0,False
1,5,58,263.0,False
1,5,59,258.0,False
1,5,60,442.0,False
1,5,61,257.0,False
1,5,62,348.0,False
1,5,63,256.0,False
1,5,64,443.0,False
1,5,65,271.0,False
1,5,66,264.0,False
1,5,67,264.0,False
1,5,68,757.0,False
1,5,69,257.0,False
1,5,70,257.0,False
1,5,71,357.0,False
1,5,72,374.0,False
1,5,73,275.0,False
1,5,74,369.0,False
1,5,75,258.0,False
1,5,76,706.0,False
1,5,77,648.0,False
1,5,78,240.0,False
1,5,79,258.0,False
1,5,80,263.0,False
1,5,81,274.0,False
1,5,82,257.0,False
1,5,83,256.0,False
1,5,84,439.0,False
1,5,85,643.0,False
1,5,86,448.0,False
1,5,87,262.0,False
1,5,88,274.0,False
1,5,89,258.0,False
1,5,90,275.0,False
1,5,91,448.0,False
1,5,92,555.0,False
1,5,93,441.0,False
1,5,94,359.0,False
1,5,95,257.0,False
1,5,96,258.0,False
1,5,97,449.0,False
1,5,98,436.0,False
1,5,99,772.0,False
1,5,100,257.0,False
1,6,1,258.0,False
1,6,2,717.0,False
1,6,3,913.0,False
1,6,4,820.0,False
1,6,5,379.0,False
1,6,6,252.0,False
1,6,7,259.0,False
1,6,8,457.0,False
1,6,9,444.0,False
1,6,10,453.0,False
1,6,11,448.0,False
1,6,12,444.0,False
1,6,13,275.0,False
1,6,14,544.0,False
1,6,15,439.0,False
1,6,16,75.0,False
1,6,17,441.0,False
1,6,18,258.0,False
1,6,19,721.0,False
1,6,20,258.0,False
1,6,21,381.0,False
1,6,22,258.0,False
1,6,23,434.0,False
1,6,24,259.0,False
1,6,25,448.0,False
1,6,26,449.0,False
1,6,27,75.0,False
1,6,28,257.0,False
1,6,29,257.0,False
1,6,30,539.0,False
1,6,31,388.0,False
1,6,32,257.0,False
1,6,33,439.0,False
1,6,34,432.0,False
1,6,35,443.0,False
1,6,36,438.0,False
1,6,37,439.0,False
1,6,38,258.0,False
1,6,39,259.0,False
1,6,40,445.0,False
1,6,41,449.0,False
1,6,42,443.0,False
1,6,43,371.0,False
1,6,44,999.0,False
1,6,45,264.0,False
1,6,46,395.0,False
1,6,47,259.0,False
1,6,48,257.0,False
1,6,49,441.0,False
1,6,50,254.0,False
1,6,51,448.0,False
1,6,52,425.0,False
1,6,53,648.0,False
1,6,54,725.0,False
1,6,55,257.0,False
1,6,56,440.0,False
1,6,57,373.0,False
1,6,58,447.0,False
1,6,59,399.0,False
1,6,60,258.0,False
1,6,61,430.0,False
1,6,62,447.0,False
1,6,63,416.0,False
1,6,64,443.0,False
1,6,65,257.0,False
1,6,66,258.0,False
1,6,67,386.0,False
1,6,68,399.0,False
1,6,69,258.0,False
1,6,70,456.0,False
1,6,71,435.0,False
1,6,72,257.0,False
1,6,73,797.0,False
1,6,74,435.0,False
1,6,75,260.0,False
1,6,76,429.0,False
1,6,77,263.0,False
1,6,78,629.0,False
1,6,79,445.0,False
1,6,80,258.0,False
1,6,81,274.0,False
1,6,82,258.0,False
